Customer_ID,cluster_category
33574,3.0
10089,3.0
38329,1.0
11376,1.0
12410,6.0
826,3.0
10364,1.0
39986,1.0
11133,6.0
32747,3.0
24564,1.0
40298,3.0
5642,3.0
15993,1.0
33308,1.0
540,1.0
34437,3.0
6605,1.0
39387,3.0
1718,1.0
15389,3.0
21309,6.0
7023,3.0
39072,1.0
23944,6.0
38085,1.0
27666,1.0
32795,1.0
18106,1.0
7096,3.0
40112,3.0
23824,1.0
32219,6.0
28701,6.0
20064,1.0
18842,3.0
18751,6.0
37221,1.0
32199,1.0
36922,3.0
23552,6.0
22381,1.0
16664,3.0
24259,1.0
34557,3.0
6124,3.0
10973,3.0
38705,3.0
24029,1.0
18134,6.0
8512,6.0
40215,3.0
1875,6.0
29032,6.0
16682,3.0
39219,1.0
30044,1.0
28027,1.0
28994,3.0
35849,3.0
34053,1.0
36906,3.0
22994,6.0
1101,1.0
14995,6.0
2434,3.0
14510,3.0
2680,1.0
7598,6.0
20614,1.0
12892,6.0
6579,1.0
39501,6.0
30307,6.0
37678,6.0
28217,6.0
39354,1.0
21385,6.0
7516,6.0
10430,6.0
14547,6.0
34134,6.0
24622,1.0
37597,6.0
36463,3.0
17593,3.0
34270,1.0
12278,6.0
32374,3.0
36747,6.0
33514,1.0
26094,1.0
27854,1.0
4903,3.0
16612,1.0
2686,3.0
3908,6.0
28455,1.0
6147,1.0
39083,1.0
5189,6.0
28580,6.0
10855,6.0
23791,1.0
39374,1.0
5192,3.0
19424,6.0
30329,6.0
25105,1.0
29294,3.0
32434,1.0
4229,3.0
40033,3.0
27419,3.0
9410,1.0
36513,6.0
6503,1.0
17525,1.0
18928,6.0
36312,3.0
5969,3.0
8348,6.0
12083,3.0
32720,3.0
22967,1.0
7184,1.0
10255,3.0
37734,1.0
25390,3.0
24645,1.0
35511,6.0
36822,6.0
12577,3.0
21744,1.0
13159,3.0
8160,3.0
10052,1.0
31705,6.0
23453,6.0
22380,6.0
4167,6.0
38014,3.0
19214,6.0
24421,6.0
612,1.0
29791,3.0
12601,1.0
17531,3.0
38485,3.0
17641,3.0
21615,3.0
19521,1.0
12912,1.0
6667,3.0
37036,3.0
7498,3.0
21726,3.0
30558,1.0
30898,1.0
19282,1.0
36324,1.0
5597,6.0
15210,1.0
27699,1.0
16243,3.0
37551,1.0
19607,3.0
12377,1.0
24341,3.0
15173,3.0
32813,3.0
20789,6.0
30603,3.0
7476,1.0
21484,1.0
12347,1.0
13326,6.0
36896,3.0
202,3.0
24650,1.0
28563,3.0
18341,3.0
15665,1.0
9000,6.0
19398,1.0
12125,3.0
4582,6.0
37204,3.0
6620,1.0
36455,1.0
12113,6.0
11986,1.0
34825,1.0
2078,6.0
13153,1.0
25415,1.0
33351,3.0
14689,1.0
11042,3.0
10729,1.0
13015,6.0
15371,3.0
20982,3.0
30489,6.0
14127,3.0
36494,3.0
17901,3.0
33694,6.0
36598,3.0
36367,3.0
40660,6.0
1883,1.0
21155,1.0
23416,3.0
35189,3.0
20314,3.0
22183,3.0
15894,1.0
38983,1.0
33209,1.0
20970,3.0
35535,1.0
31303,3.0
32563,1.0
37962,1.0
1061,3.0
36635,1.0
16585,1.0
6152,1.0
34844,1.0
5452,3.0
20712,1.0
4041,6.0
35491,1.0
38206,6.0
13752,3.0
37302,1.0
14549,1.0
21204,3.0
33297,3.0
33388,3.0
19530,6.0
40373,3.0
11484,1.0
12667,3.0
5257,1.0
9205,3.0
25727,3.0
28075,1.0
9325,1.0
17309,3.0
1251,3.0
40276,3.0
38690,3.0
6181,3.0
4735,6.0
25880,1.0
23355,6.0
35099,1.0
2278,1.0
8852,3.0
3771,1.0
24112,3.0
17197,3.0
12954,6.0
12569,6.0
33736,3.0
22252,6.0
15093,6.0
31374,3.0
40508,1.0
29755,3.0
36547,6.0
5883,1.0
15868,1.0
2967,6.0
30760,6.0
29351,3.0
5546,1.0
12010,1.0
24762,6.0
3911,3.0
28949,6.0
25572,3.0
39423,3.0
19264,3.0
29932,3.0
33314,3.0
4098,3.0
14507,3.0
17485,3.0
4913,3.0
31726,3.0
37441,3.0
28012,6.0
24313,3.0
37873,3.0
15947,1.0
1315,6.0
3425,6.0
30157,6.0
33188,3.0
28471,3.0
40160,6.0
30008,6.0
18891,6.0
23510,3.0
32183,1.0
18966,6.0
15668,3.0
34109,1.0
3390,1.0
13953,6.0
31359,6.0
23434,6.0
24742,1.0
8851,6.0
7441,1.0
24458,1.0
12659,3.0
27353,6.0
10894,3.0
7630,6.0
16082,3.0
26747,1.0
16476,6.0
39424,3.0
15786,1.0
16832,3.0
23042,6.0
24996,6.0
23231,1.0
9470,3.0
37006,6.0
38723,1.0
5292,1.0
3148,3.0
5499,3.0
6975,1.0
36722,3.0
22042,1.0
32865,6.0
1660,1.0
658,1.0
28328,3.0
31479,1.0
33601,1.0
17799,6.0
15520,1.0
13252,3.0
11367,6.0
24593,3.0
23181,6.0
16052,1.0
30425,6.0
17854,3.0
10141,1.0
5732,6.0
11397,3.0
9992,6.0
35384,3.0
9871,6.0
40450,3.0
19640,6.0
14598,3.0
35327,6.0
30494,1.0
5423,1.0
37779,1.0
38921,3.0
28137,6.0
22092,3.0
31364,1.0
39687,3.0
40246,6.0
10145,3.0
26500,6.0
22702,6.0
16102,6.0
10059,3.0
25170,6.0
23301,6.0
23014,6.0
10574,1.0
30861,1.0
7,6.0
5672,6.0
35329,3.0
33403,1.0
2232,3.0
25433,6.0
6157,3.0
34952,1.0
17382,6.0
13468,3.0
6096,6.0
36143,1.0
27568,3.0
2836,1.0
6673,3.0
8099,3.0
39051,3.0
39203,1.0
12381,3.0
1166,3.0
6155,1.0
36727,3.0
29236,1.0
28378,1.0
6275,3.0
4781,6.0
33843,3.0
9024,6.0
34674,3.0
39478,3.0
31384,1.0
12853,6.0
2239,3.0
24371,1.0
30260,1.0
20947,1.0
7972,3.0
3238,6.0
2098,3.0
10422,1.0
30087,1.0
8202,6.0
36755,6.0
7151,6.0
27468,1.0
12828,6.0
32962,1.0
32727,1.0
7945,6.0
8667,3.0
17845,6.0
37825,3.0
22220,6.0
29805,1.0
31961,6.0
1011,1.0
4963,3.0
22321,6.0
6204,1.0
39656,1.0
38452,1.0
3857,6.0
33191,3.0
35346,1.0
23993,1.0
35460,3.0
7671,1.0
22526,3.0
33930,6.0
39334,3.0
36497,1.0
2156,3.0
3744,6.0
26018,6.0
28197,6.0
30572,1.0
1601,3.0
2585,1.0
12947,6.0
14283,6.0
15545,3.0
15861,6.0
11689,6.0
18284,3.0
26600,1.0
30784,3.0
18339,1.0
34453,3.0
33969,6.0
16013,3.0
15070,1.0
3667,1.0
21312,3.0
26467,6.0
30943,3.0
8764,6.0
19722,1.0
28676,1.0
30601,1.0
5036,3.0
14466,1.0
1479,3.0
32090,6.0
27264,1.0
26397,1.0
3445,1.0
37023,3.0
14188,1.0
23628,3.0
17356,3.0
16668,1.0
25297,3.0
4633,3.0
36486,1.0
1044,1.0
37022,1.0
30622,3.0
1413,1.0
36310,3.0
13667,6.0
34895,1.0
35717,6.0
24142,3.0
22253,3.0
5651,1.0
32334,6.0
35477,1.0
14903,1.0
18255,3.0
14864,3.0
29645,1.0
37902,6.0
10851,6.0
1074,1.0
34434,3.0
14992,3.0
35893,6.0
15747,1.0
17564,6.0
32705,3.0
3487,3.0
28754,1.0
31274,6.0
25979,1.0
25393,3.0
2032,6.0
4915,1.0
5781,6.0
36621,3.0
39625,3.0
11465,6.0
15354,1.0
32753,1.0
34840,3.0
32031,1.0
13989,1.0
34046,1.0
39685,1.0
31848,3.0
3215,1.0
3338,3.0
36650,6.0
40550,3.0
36078,1.0
10633,6.0
33910,6.0
24107,1.0
2334,3.0
22479,1.0
22455,1.0
24093,3.0
22659,3.0
28903,3.0
39204,1.0
20021,3.0
9107,1.0
17553,1.0
24350,6.0
38862,1.0
31289,1.0
9682,6.0
38212,1.0
28502,6.0
21567,1.0
37932,6.0
37061,3.0
9540,1.0
23948,1.0
10172,6.0
19218,1.0
33307,3.0
37129,3.0
36127,3.0
26616,6.0
12144,3.0
25258,1.0
30133,1.0
21252,1.0
14684,1.0
31417,3.0
4885,1.0
9108,1.0
14137,3.0
23135,6.0
24966,3.0
11803,3.0
24872,3.0
38545,6.0
17454,6.0
33621,1.0
26508,1.0
3495,1.0
30507,6.0
24814,3.0
35918,1.0
35334,1.0
30862,3.0
7691,1.0
30293,6.0
37524,3.0
13745,3.0
10730,1.0
28373,3.0
5078,6.0
32244,1.0
1112,3.0
1301,6.0
5580,6.0
25908,3.0
7781,6.0
5529,3.0
7594,1.0
11639,3.0
25464,3.0
35221,3.0
31351,1.0
26065,3.0
8777,1.0
12856,1.0
12420,1.0
36724,3.0
13508,3.0
7590,1.0
34341,3.0
36154,6.0
27937,6.0
31670,1.0
27738,1.0
24614,6.0
3236,3.0
31644,3.0
38236,1.0
2934,1.0
19804,6.0
36370,3.0
26039,1.0
18423,3.0
25454,1.0
22197,6.0
8853,1.0
10090,3.0
24473,3.0
22167,3.0
22628,6.0
9568,6.0
30561,6.0
8467,1.0
14224,3.0
24793,1.0
10220,1.0
21428,3.0
16002,6.0
9870,1.0
23640,3.0
8500,3.0
21464,3.0
36119,1.0
32133,3.0
5896,1.0
37320,6.0
23369,6.0
26843,6.0
14889,3.0
13570,3.0
33004,3.0
13965,3.0
5817,1.0
3084,3.0
26738,6.0
22522,6.0
29497,3.0
37030,1.0
26487,3.0
16181,1.0
32605,3.0
12751,1.0
17963,3.0
24769,1.0
19981,1.0
27888,3.0
10970,6.0
10713,3.0
4955,6.0
37371,6.0
9477,6.0
26599,6.0
5092,3.0
3593,6.0
40387,3.0
18312,1.0
18712,1.0
12721,6.0
20147,1.0
8748,6.0
35689,3.0
17813,1.0
34717,1.0
33423,3.0
25558,1.0
35237,3.0
23500,1.0
25774,1.0
8179,1.0
9802,1.0
24215,3.0
16446,3.0
34315,1.0
4585,1.0
15827,6.0
730,3.0
12563,1.0
3798,3.0
14962,1.0
39119,3.0
9260,3.0
36894,1.0
16226,6.0
19030,1.0
32530,1.0
26381,3.0
6128,1.0
1771,6.0
14643,3.0
36315,6.0
11537,6.0
28095,1.0
9845,1.0
39577,3.0
18848,1.0
35480,1.0
32418,1.0
32030,1.0
37649,6.0
4992,6.0
20811,1.0
40283,1.0
1961,1.0
38744,1.0
758,6.0
11646,1.0
37629,1.0
16358,1.0
21023,3.0
20402,6.0
2578,1.0
3684,1.0
19406,3.0
30122,6.0
1438,1.0
2410,1.0
2716,6.0
30933,1.0
13427,1.0
27862,1.0
26107,1.0
8928,6.0
2062,6.0
24031,3.0
2522,6.0
38489,1.0
25995,3.0
22835,3.0
23197,3.0
13538,6.0
7160,6.0
4150,3.0
16107,3.0
22686,3.0
14860,1.0
18775,1.0
34288,1.0
10469,6.0
21591,6.0
288,1.0
1427,1.0
23329,3.0
29894,3.0
21406,1.0
17418,3.0
29503,1.0
3413,3.0
36083,1.0
2252,1.0
21904,1.0
21291,3.0
10002,1.0
25459,6.0
35428,6.0
20044,1.0
8277,1.0
23919,1.0
40250,1.0
5555,3.0
15402,6.0
27437,3.0
25605,6.0
39516,1.0
18187,1.0
16846,1.0
10618,1.0
37594,3.0
22130,3.0
40037,6.0
27933,6.0
37798,6.0
29472,3.0
11998,1.0
38299,3.0
2231,6.0
28496,1.0
36781,1.0
30909,1.0
17591,6.0
25701,1.0
11659,3.0
36275,6.0
2398,3.0
7780,3.0
3521,3.0
3556,3.0
10765,6.0
566,3.0
21539,3.0
5900,6.0
11493,3.0
27735,6.0
38383,3.0
5456,6.0
13412,6.0
39499,1.0
18671,3.0
19789,3.0
39555,6.0
38753,6.0
28021,3.0
28694,6.0
18409,1.0
6555,3.0
27806,6.0
38510,6.0
24135,1.0
2176,3.0
30400,3.0
22080,1.0
24944,3.0
32111,3.0
14144,3.0
34761,6.0
2871,1.0
6460,1.0
38577,3.0
17987,3.0
17263,3.0
39741,3.0
39750,3.0
11025,6.0
24278,1.0
38322,1.0
39497,3.0
5265,3.0
26501,6.0
8628,6.0
7307,3.0
15047,3.0
32158,6.0
5561,3.0
4953,1.0
12824,3.0
33564,1.0
31584,3.0
31172,6.0
16726,3.0
35902,6.0
25070,6.0
12427,3.0
2869,1.0
21649,6.0
7218,1.0
10925,3.0
36269,3.0
15299,1.0
22053,3.0
20483,1.0
12116,3.0
1368,6.0
2344,3.0
12664,3.0
37250,3.0
40061,1.0
4747,6.0
15106,6.0
32981,1.0
30673,3.0
1633,1.0
17737,1.0
31134,3.0
27790,3.0
30555,6.0
5336,1.0
8913,1.0
24802,6.0
37954,3.0
35464,6.0
384,1.0
20416,1.0
39029,1.0
28772,3.0
5953,3.0
21638,1.0
11624,3.0
13634,3.0
15880,3.0
31444,3.0
13484,1.0
31681,6.0
32415,1.0
3335,3.0
3672,6.0
14763,3.0
24354,3.0
